시군명,사업장명,인허가일자,영업상태명,폐업일자,축산업무구분명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
부천시,아쿠아플러스(주) 부천소사점,20121024,운영중,,동물판매업,경기도 부천시 괴안동 129-1 번지,경기도 부천시 경인로 532,14676,37.4847593437,126.8142443432
부천시,로얄수족관,20121024,운영중,,동물판매업,경기도 부천시 중동 1157번지,경기도 부천시 석천로 188,14547,37.5039855374,126.7639144741
부천시,에버플러스,20121109,운영중,,동물판매업,경기도 부천시 여월동 301번지,경기도 부천시 소사로 663,14485,37.5157878455,126.8023008587
부천시,온누리팻샵,20120918,운영중,,동물판매업,경기도 부천시 소사동 80-84번지,경기도 부천시 부일로 540 (소사동),14651,37.4845921991,126.7901054721
부천시,주식회사 펫뱅크,20130503,운영중,,동물판매업,경기도 부천시 상동 540-1번지 홈플러스 부천상동점 3층,경기도 부천시 길주로 118,14545,37.5042283167,126.7549340276
부천시,쥬쥬,20130508,운영중,,동물판매업,경기도 부천시 삼정동 209-8번지,경기도 부천시 신흥로413번길 62,14451,37.5206151870,126.7716553394
부천시,위드펫,20130701,운영중,,동물판매업,경기도 부천시 송내동 572-7번지,경기도 부천시 경인로 163,14724,37.4840929141,126.7736561044
부천시,애견일번지,20130711,운영중,,동물판매업,경기도 부천시 심곡본동 675-1번지,경기도 부천시 성주로 267,14713,37.4822075939,126.7819379259
부천시,(주)더위더스,20131007,운영중,,동물판매업,경기도 부천시 상동 548-4번지,경기도 부천시 길주로 64 (상동),14544,37.5053421778,126.7491059113
부천시,메이크펫,20130529,운영중,,동물판매업,경기도 부천시 심곡동 396-1번지,경기도 부천시 부일로 444-1,14636,37.4861491404,126.7793823136
부천시,월드펫동물병원,20140207,운영중,,동물판매업,경기도 부천시 중동 808번지,경기도 부천시 부일로 322 (중동),14626,37.4880416626,126.7657404652
부천시,페이스독,20140212,운영중,,동물판매업,경기도 부천시 심곡동 167-2번지,"경기도 부천시 부일로483번길 22, 3층 (심곡동)",14640,37.4866536346,126.7841635729
부천시,개편한세상,20140217,운영중,,동물판매업,경기도 부천시 괴안동 101-4번지 투윈파크,경기도 부천시 안곡로 96 (괴안동),14689,37.4787383314,126.8127671425
부천시,24시 아이동물 메디컬센터,20140522,운영중,,동물판매업,경기도 부천시 원종동 229-8번지,경기도 부천시 소사로 779 (원종동),14427,37.5255942448,126.8044579469
부천시,메리벨 하우스,20140523,운영중,,동물판매업,경기도 부천시 소사본동 181-33번지,경기도 부천시 소사로 179 (소사본동),14758,37.4742129122,126.7952673213
부천시,로얄수족관,20140619,운영중,,동물판매업,경기도 부천시 심곡본동 316-2번지,경기도 부천시 부천로 1 (심곡본동),14637,37.4839571376,126.7828033639
부천시,작은동물원,20140701,운영중,,동물판매업,경기도 부천시 중동 1145번지 매트로팰리스 II-A동 204호,"경기도 부천시 중동로248번길 38, II-A동 204호 (중동, 매트로팰리스)",14548,37.5012061478,126.7707765601
부천시,펫츠고동물병원,20140829,운영중,,동물판매업,경기도 부천시 상동 540-1번지,경기도 부천시 길주로 118 (상동),14545,37.5042283167,126.7549340276
부천시,미래애견,20141030,운영중,,동물판매업,,경기도 부천시 은성로 471 (소사본동),,37.4759235746,126.7895195721
부천시,강아지영토,20141124,운영중,,동물판매업,경기도 부천시 중동 1152번지 상록센트럴타워,경기도 부천시 중동로 244 (중동),14548,37.5014548996,126.7689889689
부천시,이쁘개,20141205,운영중,,동물판매업,경기도 부천시 상동 329-12번지,경기도 부천시 중동로85번길 7 (상동),14625,37.4874266935,126.7646004143
부천시,똘이야,20150106,운영중,,동물판매업,경기도 부천시 상동 296-7번지,경기도 부천시 석천로 36 (상동),14621,37.4904275477,126.7604410918
부천시,Groovy Dooggy,20150130,운영중,,동물판매업,"경기도 부천시 중동 1031-2번지 골든벨타워 105,106호","경기도 부천시 길주로 181, 105,106호 (중동, 골든벨타워)",14537,37.5052351988,126.7625759624
부천시,도그탑,20150302,운영중,,동물판매업,경기도 부천시 심곡동 343번지,경기도 부천시 부일로405번길 38 (심곡동),14617,37.4884846792,126.7756892601
부천시,이마트 중동점,20161025,운영중,,동물판매업,경기도 부천시 중동 1157번지 이마트,"경기도 부천시 석천로 188 (중동, 이마트)",14547,37.5039855374,126.7639144741
부천시,도그피아,20080325,운영중,,동물판매업,경기도 부천시 송내동 609-10번지,경기도 부천시 성주로 125-1,14734,37.4796265474,126.7703571763
부천시,도당애견,20080325,운영중,,동물판매업,경기도 부천시 도당동 49-20번지,경기도 부천시 부천로366번길 46,14480,37.5164280900,126.7872664813
부천시,나드리애견,20080430,운영중,,동물판매업,경기도 부천시 원종동 373-10번지,경기도 부천시 삼작로 391,14466,37.5199553161,126.8052081464
부천시,테오퍼피,20081017,운영중,,동물판매업,경기도 부천시 심곡본동 730-15 번지,경기도 부천시 성주로 250,14750,37.4805136283,126.7818863844
부천시,둘리애견,20081202,운영중,,동물판매업,경기도 부천시 여월동 7-53 번지,경기도 부천시 삼작로352번길 2,14462,37.5196772647,126.8006276206
부천시,도그앤도그,20090714,운영중,,동물판매업,경기도 부천시 원미동 129-9 번지,경기도 부천시 조종로 16,14570,37.4930368585,126.7864404298
부천시,복뎅이애견,20101015,운영중,,동물판매업,경기도 부천시 소사본동 231-4번지,경기도 부천시 소사로 141,14761,37.4706274820,126.7955711512
부천시,샐리동물병원,20100517,운영중,,동물판매업,경기도 부천시 송내동 578-4 번지,경기도 부천시 경인로138번길 9,14725,37.4836558317,126.7712944203
부천시,오드리 독,20151105,운영중,,동물판매업,경기도 부천시 상동 569-4번지,경기도 부천시 조마루로105번길 8-12 (상동),14589,37.5001763022,126.7561009239
부천시,스마트독,20160929,운영중,,동물판매업,경기도 부천시 심곡동 145-11번지,경기도 부천시 부일로 496 (심곡동),14643,37.4852319516,126.7851853071
부천시,주)미니펫,20151109,운영중,,동물판매업,경기도 부천시 중동 1031-1번지 에스티마오피스텔 103호,"경기도 부천시 길주로 177, 103호 (중동, 에스티마오피스텔)",14537,37.5052886363,126.7622704327
부천시,이사벨라돌스 말티즈,20151110,운영중,,동물판매업,경기도 부천시 심곡동 400-9번지 3층,경기도 부천시 부일로 441 (심곡동),14635,37.4865091077,126.7791551063
부천시,우리아이,20180501,운영중,,동물판매업,경기도 부천시 원종동 229-8번지 뉴월드프라자,"경기도 부천시 소사로 779, 뉴월드프라자 1층 103호 (원종동)",14427,37.5255942448,126.8044579469
